sku_id,store_id,category,brand,price,cost,on_hand,lead_time_days,days_since_first_sale,avg_daily_sales_30d,avg_daily_sales_90d,total_sales_365d,sales_last_7d,promo_flag_14d,promo_depth,price_elasticity_est,seasonality_index,store_footfall,store_income_bracket,region,days_out_of_stock_365d,returns_rate,shelf_life_days,is_new_launch,competitor_price_index,holiday_flag,label_deadstock_90d,snapshot_date
SKU_00001,STORE_039,Apparel,Autograph,1508.86,136.22,62,15,1314,2.08,1.33,3969,69,1,0.1,-1.31,1.04,6877,high,East,8,0.04,128,1,0.89,1,1,2025-05-17 07:34:22.700010
SKU_00002,STORE_029,Home,Autograph,1258.03,2091.95,46,21,410,0.03,1.21,2801,196,0,0.08,-2.05,0.71,2497,low,South,8,0.25,283,0,1.0,0,1,2025-07-11 07:34:22.700010
SKU_00003,STORE_015,Accessories,Autograph,527.9,1945.3,63,7,70,0.02,5.3,2497,89,0,0.38,-1.54,0.64,6083,med,South,30,0.24,135,1,0.98,0,0,2024-11-06 07:34:22.700010
SKU_00004,STORE_043,Apparel,Blue Harbour,3040.66,1487.91,49,7,762,3.3,5.2,4704,178,0,0.01,-1.33,1.44,6470,low,South,80,0.0,87,0,1.08,1,0,2024-12-15 07:34:22.700010
SKU_00005,STORE_008,Beauty,Per Una,2581.51,2206.74,40,17,79,5.24,0.13,644,114,1,0.22,-2.08,1.25,1626,low,East,33,0.18,312,0,1.01,0,1,2024-12-23 07:34:22.700010
SKU_00006,STORE_021,Apparel,M&S Core,4088.9,1627.87,50,25,441,0.95,0.92,3013,148,0,0.13,-1.6,1.5,8153,med,South,25,0.11,265,0,0.82,1,0,2024-11-25 07:34:22.700010
SKU_00007,STORE_039,Beauty,Autograph,2509.18,1786.99,52,8,1380,0.3,1.64,3839,46,0,0.03,-1.88,1.13,6279,high,West,63,0.11,243,0,1.15,1,0,2025-02-25 07:34:22.700010
SKU_00008,STORE_019,Footwear,Blue Harbour,1174.53,107.74,40,4,1494,3.97,1.55,3145,34,1,0.2,-1.12,0.89,1755,med,East,8,0.07,343,0,1.04,1,0,2025-01-12 07:34:22.700010
SKU_00009,STORE_023,Home,Blue Harbour,4085.07,358.6,58,16,1310,1.49,2.17,975,91,1,0.11,-1.58,1.39,902,high,South,71,0.21,340,1,0.89,0,0,2024-10-04 07:34:22.700010
SKU_00010,STORE_011,Apparel,Autograph,2385.18,687.74,48,12,1349,0.39,0.2,1558,178,0,0.35,-1.43,0.71,2074,high,East,87,0.19,48,1,1.02,0,0,2025-01-31 07:34:22.700010
SKU_00011,STORE_011,Accessories,Goodmove,4786.99,817.68,59,2,1619,8.6,0.74,4978,143,0,0.3,-1.35,0.9,9798,med,North,43,0.23,247,0,1.07,0,0,2025-07-20 07:34:22.700010
SKU_00012,STORE_024,Home,Goodmove,2764.46,1863.55,60,26,181,0.78,0.2,3926,23,1,0.29,-1.81,0.75,9132,med,West,20,0.03,177,1,1.16,0,0,2024-12-20 07:34:22.700010
SKU_00013,STORE_036,Apparel,Goodmove,759.35,3512.15,48,9,689,1.76,9.81,2843,28,0,0.28,-0.62,0.77,9118,med,East,8,0.22,345,0,0.99,0,0,2025-05-17 07:34:22.700010
SKU_00014,STORE_040,Accessories,Autograph,4283.92,1683.53,36,25,1899,0.2,0.38,1667,171,0,0.41,-1.05,0.92,9845,high,Central,43,0.3,69,1,1.1,0,1,2025-05-12 07:34:22.700010
SKU_00015,STORE_024,Accessories,Blue Harbour,4415.37,2546.05,58,7,1079,1.06,1.67,4347,47,1,0.2,-1.65,0.92,6126,high,West,88,0.18,80,0,0.97,0,1,2025-03-08 07:34:22.700010
SKU_00016,STORE_003,Accessories,Blue Harbour,2337.07,200.63,44,28,1944,1.84,2.37,2728,52,0,0.11,-1.5,0.75,532,low,South,70,0.14,34,0,0.89,0,0,2025-03-06 07:34:22.700010
SKU_00017,STORE_022,Accessories,M&S Core,323.77,3433.9,39,3,928,7.78,9.21,525,66,0,0.48,-2.1,0.84,1088,high,South,2,0.22,116,0,0.92,0,0,2025-09-05 07:34:22.700010
SKU_00018,STORE_002,Apparel,Goodmove,341.67,541.22,48,19,1065,1.12,2.31,3379,137,0,0.19,-0.94,1.29,3818,med,North,86,0.28,356,0,1.07,0,0,2024-09-22 07:34:22.700010
SKU_00019,STORE_024,Footwear,Autograph,1884.52,1208.73,35,25,1503,0.34,1.13,741,83,1,0.13,-1.53,1.04,3215,low,West,6,0.23,265,0,0.95,0,0,2025-04-22 07:34:22.700010
SKU_00020,STORE_044,Beauty,M&S Core,3636.91,3285.27,49,7,1075,1.59,0.99,3623,189,1,0.14,-2.46,1.25,5345,med,East,85,0.29,83,0,1.03,0,1,2025-05-13 07:34:22.700010
SKU_00021,STORE_030,Beauty,Blue Harbour,1788.05,1133.02,47,2,1981,0.86,1.18,3317,103,0,0.11,-1.83,0.87,8992,low,West,1,0.24,239,0,0.84,0,1,2024-09-23 07:34:22.700010
SKU_00022,STORE_038,Beauty,M&S Core,236.1,1106.2,48,18,633,1.93,3.61,4981,115,0,0.4,-1.81,1.33,7033,med,North,22,0.24,352,0,1.19,0,0,2025-07-02 07:34:22.700010
SKU_00023,STORE_002,Footwear,Goodmove,4272.14,2451.65,55,5,521,3.06,2.98,2263,121,0,0.01,-1.4,1.09,4451,med,West,83,0.17,307,0,0.93,0,0,2025-03-19 07:34:22.700010
SKU_00024,STORE_021,Accessories,Per Una,4848.92,3622.66,35,8,615,0.02,5.63,481,51,0,0.18,-1.82,0.78,3643,low,South,73,0.04,312,0,1.1,0,0,2024-09-18 07:34:22.700010
SKU_00025,STORE_033,Accessories,Goodmove,1861.57,933.23,45,11,199,0.86,2.11,3293,165,1,0.21,-1.6,1.13,6326,high,East,47,0.2,53,0,1.09,0,0,2025-08-07 07:34:22.700010
SKU_00026,STORE_012,Home,Goodmove,549.76,2521.19,46,9,827,0.9,5.07,876,141,0,0.15,-2.39,0.72,4477,low,East,35,0.05,186,0,1.14,0,1,2024-10-22 07:34:22.700010
SKU_00027,STORE_022,Beauty,Autograph,1597.78,2440.73,48,15,100,1.43,9.68,4579,98,0,0.09,-2.13,0.81,677,low,South,20,0.02,132,0,1.15,0,0,2024-11-03 07:34:22.700010
SKU_00028,STORE_044,Beauty,Per Una,4034.23,2672.14,54,27,872,2.65,1.65,4942,177,1,0.31,-1.6,0.76,7806,med,West,22,0.08,162,0,1.15,1,0,2025-05-22 07:34:22.700010
SKU_00029,STORE_025,Accessories,Per Una,2801.84,3792.4,56,21,333,1.56,2.59,2385,4,0,0.03,-2.3,1.08,3838,high,East,56,0.29,149,0,1.16,0,0,2024-10-08 07:34:22.700010
SKU_00030,STORE_049,Beauty,Per Una,2042.13,746.94,40,23,905,1.59,0.47,3804,60,0,0.14,-1.68,1.35,5698,low,East,47,0.03,206,1,1.06,0,0,2025-06-16 07:34:22.700010
SKU_00031,STORE_027,Accessories,Blue Harbour,1803.29,2651.99,44,23,1073,1.74,7.49,3593,134,0,0.02,-0.93,0.52,5547,high,East,74,0.14,51,0,0.85,0,0,2025-05-29 07:34:22.700010
SKU_00032,STORE_042,Accessories,M&S Core,752.9,811.28,36,2,235,1.84,0.95,2721,148,1,0.01,-1.96,1.26,9558,high,West,1,0.01,208,0,0.92,0,0,2025-08-09 07:34:22.700010
SKU_00033,STORE_028,Accessories,Blue Harbour,1828.67,1325.77,50,11,802,0.11,2.54,2567,103,0,0.31,-2.5,1.13,5259,high,West,46,0.12,90,0,0.93,1,0,2024-11-07 07:34:22.700010
SKU_00034,STORE_016,Apparel,Per Una,2455.52,1620.85,63,21,119,2.53,1.41,3775,77,1,0.16,-1.46,0.76,1160,low,East,17,0.2,277,0,0.95,0,0,2025-06-04 07:34:22.700010
SKU_00035,STORE_015,Apparel,Autograph,3430.08,3358.02,50,12,1437,0.3,0.11,2492,126,1,0.11,-2.42,0.62,7580,med,Central,86,0.08,157,0,0.84,0,0,2025-01-17 07:34:22.700010
SKU_00036,STORE_047,Apparel,Goodmove,1456.98,309.47,56,4,289,0.3,0.94,4347,18,0,0.48,-0.86,0.94,9026,high,North,43,0.17,217,0,1.16,0,0,2025-03-10 07:34:22.700010
SKU_00037,STORE_044,Apparel,Goodmove,4506.42,2961.24,46,7,1696,2.69,5.28,3142,156,0,0.3,-1.85,1.17,4842,med,West,85,0.09,156,0,0.85,1,1,2025-07-31 07:34:22.700010
SKU_00038,STORE_003,Footwear,Blue Harbour,2526.04,3659.11,48,29,1334,1.94,0.28,2666,138,1,0.28,-1.87,1.16,5726,low,North,79,0.13,240,0,1.01,0,0,2025-05-30 07:34:22.700010
SKU_00039,STORE_037,Home,Blue Harbour,2143.77,409.04,32,4,399,0.25,0.78,2581,88,1,0.18,-2.14,1.32,3884,low,East,77,0.03,150,0,1.07,0,0,2025-05-31 07:34:22.700010
SKU_00040,STORE_007,Home,Autograph,3049.98,3183.85,51,24,982,4.61,0.57,185,60,1,0.15,-2.06,1.02,2119,high,North,18,0.08,290,1,1.09,0,1,2025-04-18 07:34:22.700010
SKU_00041,STORE_021,Accessories,Goodmove,1003.59,519.8,49,28,642,3.24,1.33,3870,191,0,0.17,-1.77,0.67,2087,med,South,44,0.06,269,0,1.03,1,1,2025-02-28 07:34:22.700010
SKU_00042,STORE_009,Beauty,Blue Harbour,710.61,3855.13,47,15,1870,1.54,2.64,1723,43,0,0.27,-1.9,0.82,7817,med,East,56,0.14,74,1,0.99,0,0,2025-01-11 07:34:22.700010
SKU_00043,STORE_039,Apparel,M&S Core,1862.39,3279.92,53,4,1354,1.44,0.05,2393,33,1,0.18,-1.21,1.13,2386,low,East,51,0.06,278,0,0.99,0,0,2025-02-08 07:34:22.700010
SKU_00044,STORE_018,Home,Blue Harbour,390.68,2810.44,49,26,1514,2.24,0.73,2168,66,0,0.16,-2.72,0.59,3222,low,Central,30,0.24,189,0,1.08,1,1,2025-06-17 07:34:22.700010
SKU_00045,STORE_004,Home,Blue Harbour,2011.4,2245.23,64,21,1489,0.68,1.45,2660,0,1,0.01,-1.23,1.38,3321,high,East,52,0.05,232,0,1.04,0,0,2024-09-20 07:34:22.700010
SKU_00046,STORE_025,Apparel,Per Una,3422.13,3691.19,39,22,691,2.37,0.91,4316,44,0,0.22,-1.0,0.54,8448,high,North,10,0.03,113,0,0.9,0,0,2024-11-29 07:34:22.700010
SKU_00047,STORE_014,Footwear,M&S Core,4097.19,564.38,56,25,1476,3.42,3.23,11,194,1,0.37,-1.78,0.71,5871,high,East,8,0.24,307,0,1.04,1,1,2024-09-12 07:34:22.700010
SKU_00048,STORE_050,Footwear,M&S Core,2981.86,574.96,59,10,1025,0.16,3.89,2201,132,0,0.24,-1.54,1.26,1158,med,East,68,0.08,67,0,1.13,0,0,2025-03-22 07:34:22.700010
SKU_00049,STORE_009,Home,Autograph,3517.38,3307.71,50,19,530,0.25,0.2,2731,48,0,0.1,-1.33,1.29,2382,med,South,71,0.17,301,0,1.18,0,1,2024-09-26 07:34:22.700010
